id_veicolo,commerciale,eta_approx,genere
21953,N,73,F
21954,N,55,F
21955,N,87,M
21956,N,70,F
21957,N,22,M
21958,N,81,M
21959,N,67,M
21960,N,45,F
21961,N,66,F
21962,N,75,M
21963,S,0,_
21964,N,43,M
21965,N,30,F
21966,N,61,F
21967,N,71,M
21968,N,69,F
21969,N,32,F
21970,N,56,M
21971,N,73,M
21972,N,56,F
21973,N,76,M
21974,S,0,_
21975,N,36,F
21976,N,51,F
21977,N,59,F
21978,N,45,F
21979,N,56,F
21980,N,84,M
21981,N,43,M
21982,N,45,M
21983,N,76,M
21984,N,64,M
21985,N,55,M
21986,N,84,M
21987,N,78,F
21988,N,50,M
21989,N,84,F
21990,N,58,F
21991,N,54,M
21992,N,72,M
21993,N,66,F
21994,N,44,M
21995,N,69,F
21996,S,0,_
21997,S,0,_
21998,N,48,M
21999,N,47,M
22000,N,85,M
22001,N,80,M
22002,N,31,F
22003,N,72,F
22004,N,42,M
22005,N,63,F
22006,N,49,F
22007,N,60,F
22008,N,65,M
22009,N,69,F
22010,S,0,_
22011,N,53,F
22012,N,80,M
22013,N,59,F
22014,N,48,F
22015,N,57,F
22016,N,61,M
22017,N,39,F
22018,N,50,F
22019,N,56,F
22020,N,58,F
22021,N,53,M
22022,N,81,M
22023,N,50,F
22024,N,78,M
22025,N,77,F
22026,N,56,F
22027,N,71,M
22028,N,43,M
22029,N,71,M
22030,N,80,M
22031,N,63,F
22032,N,50,M
22033,N,68,F
22034,N,47,M
22035,N,47,M
22036,N,62,F
22037,N,55,F
22038,N,53,M
22039,N,56,M
22040,N,28,M
22041,N,39,M
22042,N,24,M
22043,N,56,M
22044,N,57,F
22045,N,68,M
22046,N,65,M
22047,N,55,F
22048,N,55,F
22049,N,73,M
22050,N,91,M
22051,N,51,M
22052,N,60,M
22053,N,50,F
22054,N,63,M
22055,N,24,M
22056,N,68,M
22057,N,78,F
22058,N,58,M
22059,N,80,F
22060,N,64,M
22061,N,78,M
22062,N,77,M
22063,N,63,M
22064,N,46,F
22065,N,72,F
22066,N,68,M
22067,N,58,M
22068,N,69,F
22069,S,0,_
22070,N,28,F
22071,N,46,M
22072,S,0,_
22073,N,41,F
22074,N,91,F
22075,N,74,M
22076,N,76,F
22077,N,83,F
22078,N,50,M
22079,N,29,F
22080,N,54,F
22081,N,67,M
22082,N,60,M
22083,N,44,M
22084,N,61,M
22085,N,60,F
22086,N,58,F
22087,N,30,M
22088,N,44,F
22089,N,69,M
22090,N,66,F
22091,N,54,M
22092,N,43,F
22093,N,69,M
22094,N,36,F
22095,N,63,F
22096,N,76,M
22097,N,38,M
22098,N,49,F
22099,N,37,F
22100,N,29,F
22101,N,34,M
22102,N,68,M
22103,N,75,F
22104,N,42,F
22105,S,0,_
22106,N,55,M
22107,N,73,M
22108,S,0,_
22109,N,54,M
22110,N,48,F
22111,N,82,F
22112,N,68,M
22113,N,59,M
22114,N,68,M
22115,N,59,F
22116,N,23,M
22117,N,45,M
22118,N,72,M
22119,N,30,F
22120,N,60,F
22121,N,75,M
22122,N,53,M
22123,N,63,M
22124,N,48,M
22125,N,67,M
22126,N,35,M
22127,S,0,_
22128,N,58,M
22129,N,33,F
22130,N,56,M
22131,N,45,M
22132,N,71,M
22133,N,63,M
22134,N,85,M
22135,N,52,F
22136,N,51,M
22137,N,67,M
22138,N,78,M
22139,N,85,M
22140,N,65,M
22141,N,67,M
22142,N,50,F
22143,N,35,F
22144,N,30,M
22145,S,0,_
22146,N,68,M
22147,N,59,F
22148,N,61,M
22149,N,68,F
22150,S,0,_
22151,N,63,F
22152,N,56,M
22153,N,58,M
22154,N,59,M
22155,N,50,M
22156,N,52,M
22157,S,0,_
22158,N,46,F
22159,N,55,F
22160,N,52,F
22161,S,0,_
22162,N,59,M
22163,N,54,F
22164,N,69,M
22165,N,68,F
22166,N,54,F
22167,N,32,F
22168,N,56,M
22169,N,67,M
22170,N,68,F
22171,N,77,M
22172,N,57,F
22173,N,44,M
22174,N,72,F
22175,N,57,M
22176,N,26,M
22177,N,73,F
22178,N,77,M
22179,N,50,F
22180,N,50,F
22181,N,36,M
22182,N,37,F
22183,N,70,M
22184,N,58,M
22185,N,59,F
22186,N,63,M
22187,N,88,F
22188,N,36,M
22189,N,38,M
22190,N,66,M
22191,S,0,_
22192,N,78,F
22193,N,59,F
22194,N,49,M
22195,N,70,M
22196,N,34,M
22197,N,26,M
22198,S,0,_
22199,N,53,F
22200,N,44,M
22201,N,40,F
22202,N,51,M
22203,N,71,M
22204,N,27,M
22205,N,58,M
22206,N,65,F
22207,N,26,M
22208,N,52,F
22209,N,81,M
22210,N,26,M
22211,N,56,M
22212,S,0,_
22213,N,51,F
22214,N,55,M
22215,N,59,M
22216,N,20,M
22217,N,78,M
22218,N,54,F
22219,N,33,M
22220,N,56,F
22221,N,66,F
22222,N,34,F
22223,N,50,M
22224,N,59,M
22225,N,77,M
22226,N,56,M
22227,N,32,M
22228,N,57,M
22229,N,27,F
22230,N,35,M
22231,N,55,M
22232,N,60,M
22233,N,57,M
22234,N,74,M
22235,N,70,F
22236,N,59,F
22237,S,0,_
22238,N,71,M
22239,N,77,F
22240,S,0,_
22241,N,58,F
22242,N,77,F
22243,N,70,M
22244,N,61,M
22245,N,46,M
22246,N,77,M
22247,N,56,F
22248,N,71,M
22249,N,24,M
22250,N,72,M
22251,N,68,M
22252,N,21,M
22253,N,53,M
22254,N,75,F
22255,N,64,F
22256,N,58,M
22257,S,0,_
22258,N,80,M
22259,S,0,_
22260,N,60,F
22261,N,55,F
22262,N,33,F
22263,N,61,F
22264,N,69,M
22265,N,67,F
22266,N,47,M
22267,N,57,F
22268,N,66,F
22269,N,67,M
22270,N,56,M
22271,N,53,M
22272,N,59,M
22273,N,64,F
22274,N,74,M
22275,N,61,F
22276,N,40,M
22277,N,65,F
22278,N,79,M
22279,S,0,_
22280,N,50,M
22281,N,32,F
22282,N,52,M
22283,N,35,M
22284,S,0,_
22285,N,36,M
22286,N,55,M
22287,N,79,F
22288,N,52,F
22289,N,77,M
22290,N,76,M
22291,N,63,M
22292,N,39,M
22293,N,77,M
22294,N,52,M
22295,S,0,_
22296,N,75,F
22297,N,56,M
22298,N,28,M
22299,N,61,M
22300,N,57,F
22301,N,62,M
22302,N,55,M
22303,N,51,M
22304,N,79,M
22305,N,26,F
22306,N,73,M
22307,N,27,M
22308,N,64,M
22309,N,28,F
22310,N,69,M
22311,N,63,M
22312,N,62,M
22313,N,53,M
22314,N,50,F
22315,S,0,_
22316,N,34,F
22317,N,42,M
22318,N,44,F
22319,N,26,M
22320,S,0,_
22321,N,51,M
22322,N,56,M
22323,N,62,M
22324,N,56,M
22325,N,49,M
22326,N,68,F
22327,N,50,F
22328,N,70,F
22329,N,58,M
22330,N,67,M
22331,N,65,M
22332,N,70,M
22333,N,60,F
22334,N,57,F
22335,N,53,M
22336,N,65,F
22337,N,57,F
22338,N,61,F
22339,N,47,F
22340,N,68,M
22341,S,0,_
22342,N,32,M
22343,N,82,F
22344,N,79,F
22345,N,54,M
22346,N,39,M
22347,S,0,_
22348,N,70,F
22349,N,56,M
22350,N,89,F
22351,N,71,M
22352,N,55,F
22353,N,52,F
22354,N,26,F
22355,N,67,M
22356,S,0,_
22357,N,60,M
22358,N,39,M
22359,N,57,M
22360,N,65,M
22361,N,54,M
22362,N,28,M
22363,N,68,M
